ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
2351.TW,2023-04-25,802000,800000,2000,-137000,-50263,-185263
2351.TW,2023-04-26,1813000,2545000,-732000,-1440000,-32780,-2204780
2351.TW,2023-04-27,1294000,1269000,25000,0,-150857,-125857
2351.TW,2023-04-28,954000,730000,224000,5000,10764,239764
2351.TW,2023-05-02,516872,202000,314872,-185000,27072,156944
2351.TW,2023-05-03,554000,383000,171000,-321000,-4999,-154999
2351.TW,2023-05-04,448012,483000,-34988,-174000,-16305,-225293
2351.TW,2023-05-05,571000,467000,104000,-121000,4820,-12180
2351.TW,2023-05-08,247270,518000,-270730,0,-30701,-301431
2351.TW,2023-05-09,312000,219000,93000,-242000,-11683,-160683
2351.TW,2023-05-10,235000,172000,63000,-15000,-62351,-14351
2351.TW,2023-05-11,126200,391000,-264800,102000,-5696,-168496
2351.TW,2023-05-12,238000,247000,-9000,0,24002,15002
2351.TW,2023-05-15,184000,266000,-82000,0,-5247,-87247
2351.TW,2023-05-16,339000,180000,159000,0,21900,180900
2351.TW,2023-05-17,447000,174000,273000,0,98950,371950
2351.TW,2023-05-18,258000,603000,-345000,-26000,18693,-352307
2351.TW,2023-05-19,262000,600000,-338000,-263000,6958,-594042
2351.TW,2023-05-22,657000,437000,220000,-200000,4807,24807
2351.TW,2023-05-23,500000,529000,-29000,-65000,32036,-61964
2351.TW,2023-05-24,777000,334000,443000,0,123026,566026
2351.TW,2023-05-25,690000,682000,8000,-175000,-36905,-203905
2351.TW,2023-05-26,788000,536000,252000,-252000,-5204,-5204
2351.TW,2023-05-29,520000,215012,304988,0,24827,329815
2351.TW,2023-05-30,352000,158000,194000,150000,7729,351729
2351.TW,2023-05-31,509060,836240,-327180,-221000,8447,-539733
2351.TW,2023-06-01,216765,434000,-217235,11000,-6732,-212967
2351.TW,2023-06-02,297000,232000,65000,-368000,3744,-299256
2351.TW,2023-06-05,359000,89000,270000,0,21665,291665
2351.TW,2023-06-06,151000,293000,-142000,0,-67235,-209235
2351.TW,2023-06-07,303000,34000,269000,0,12396,281396
2351.TW,2023-06-08,126000,231000,-105000,0,-2173,-107173
2351.TW,2023-06-09,800000,544000,256000,0,133844,389844
2351.TW,2023-06-12,317000,674000,-357000,316000,210800,169800
2351.TW,2023-06-13,693000,2562000,-1869000,180000,-4375,-1693375
2351.TW,2023-06-14,929000,1381000,-452000,0,-29678,-481678
2351.TW,2023-06-15,1130000,1024270,105730,0,-12494,93236
2351.TW,2023-06-16,136000,837000,-701000,0,-59232,-760232
2351.TW,2023-06-19,529000,202000,327000,0,41163,368163
2351.TW,2023-06-20,124000,208000,-84000,0,-8950,-92950
